name,similar,desc,tags,num_eps,agg_review,1,2,3,4,5
akashic-records-of-bastard-magic-instructor,In Another World With My Smartphone::MAGICAL CIRCLE GURU-GURU::Fate/kaleid liner PRISMA ILLYA::TRINITY SEVEN,"
            The Alzano Imperial Magic Academy is located in the southern part of the Alzano Empire,and is among most prominent magic schools in the world, where students can learn the highest forms of magic. All those who strive to learn magic dream of studying at this academy, and its students as well as its teachers are proud to be a part of its 400-year history. Glenn Radars is a new instructor who has suddenly been appointed to teach part-time at this highly respected academy. The previously unheard-of lessons of this man known as a good-for-nothing bastard are about to begin.
          ",Kadokawa Pictures Inc.::akashic records of bastard magical instructor::action::fantasy::ecchi::comedy::adventure::rokudenashi majutsu koushi to akashic records,12,4,10,12,32,52,108
akb0048,Fate/kaleid liner PRISMA ILLYA::Yona of the Dawn::Wish Upon the Pleiades::Pretty Cure,"
            At the start of the 21st century, an interplanetary war broke out. Earth's ecosystem was severely damaged, and humanity was forced to flee the planet. On several planets of this new society, things that ‘disturb the heart’ like music and art are forbidden. That is, until AKB0048 is resurrected...
          ",King Record Company Limited ::shoujo::fantasy::action::adventure,27,4.5,2,1,4,6,65
alderamin-on-the-sky,Overlord::That Time I Got Reincarnated as a Slime::The Rising of the Shield Hero::Fate/Zero,"
            The huge Katvana Empire is at war with the neighboring Kioka republic.  In a corner of the empire, a young man is about be caught up in the flames of war.  His name is Ikta Solork. He's lazy, a philanderer, and he hates war.  He's about as far from a soldier as you can get. 
 
On his way towards the next stage of officer's qualification exams, he and his childhood friend Yatorishino Igsem encounter the nurse trainee Harouma Beckle, Mashuu Tetrijirch, a member of the old military faction, and Torwey Lemion....
          ",Warner Japan::adventure::action::fantasy::tenkyou no alderamin,26,4.5,3,4,8,28,97
aldnoahzero,Planet With::MOBILE SUIT GUNDAM UNICORN RE:0096::Fafner Exodus::Linebarrels of Iron,"
            Humanity has clearly split into two and currently there is no way these groups will once again unite. Humanity celebrates this transient time of peace as they slowly dismiss from their minds the scars their ancestors bore in the past. No one realized that with one little push their world can fall to its destruction.
          ",Aniplex of America::mecha::action::drama,25,4,19,32,57,78,191
alice-zoroku,Galaxy Express 999::ISLAND::Traveling Daru::Laid-Back Camp,"
            Up until that point, the girl didn’t know about the “outside world.” It was filled with things she had never touched, scenery she had never seen, and people she had never met... In the face of such a broad new world, she was surprised, wavered, and her eyes were opened on the impulse of curiosity. 
 
The girl’s name: Sana. She was born and raised at a facility called the “Laboratory” without ever knowing anything about the outside world. This girl has the special power to materialize anything she imagined. Those with special powers like Sana were called “Alice’s Dream.”
          ",Bandai Visual::action::adventure::slice of life::drama,13,4.5,1,3,3,11,33
all-out,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            The day of the entrance ceremony at Kanagawa Highschool... The story starts when the slight but unyielding Gion joins the rugby team. His classmate, Iwashimizu, who can’t get into rugby because of something happening in the past, the vice-captain, Hachioji, who looks out for all of the members, and their captain, Sekizan, who is more passionate and intense than anyone... All of the members are completely different, but they all keep growing on this battlefield known as youth. Once they give it their all, the ultimate stage awaits them!
          ","TMS Entertainment Co., Ltd.",25,5,0,0,1,2,31
amagi-brilliant-park,FOREST FAIRY FIVE::Love Rice::Chiruran 1/2::Cheating Craft,"
            A mysterious but pretty transfer student, Sento Isuzu, asks Kanie Seiya out on a date to an amusement park. That park was Amagi Brilliant Park, featuring worn-down attractions and lackluster service -- the worst in Japan.
          ",Sentai::comedy,12,4.5,0,2,3,13,41
amanchu,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            It is spring, the season of great changes. Hikari Kohinata is an overwhelmingly cheerful and outgoing 15-year-old girl who has spent all her life in a small and beautiful seaside town on the Izu peninsula. On the first day of high school, she meets Futaba Oki, a slightly introverted girl who has just moved from Tokyo. Before she knows it, Futaba gets dragged along into Hikari's passion for scuba diving. And from there, Futaba gradually starts to come out of her shell, and learns how to take challenges and dive into the ocean of life.
          ",Production I.G,25,4.5,1,1,2,7,21
amnesia,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            When the heroine regains consciousness in an unfamiliar place, she has suddenly lost all memories of everything that happened before August 1. What is this place, and what was she doing there? Who is she, and what sort of life had she lived?
          ",Showgate::anime::amnesia::otome::visual novel,13,3.5,25,41,47,42,86
ange-vierge,Familiar of Zero F::HAKYU HOSHIN ENGI::Wish Upon the Pleiades::Yona of the Dawn,"
            One day, out of the blue, the five worlds were linked together. Our blue world, Earth. The black world, ruled by night and magic, Darknes Embrace. The red world, protected by prayer and by the gods: Tera Rubily Aurora. The white world, managed by science and computers: System White Egma.  The green world, governed by weapons and armies: Glynnesert. Meanwhile, in each of the worlds, there was an emergence of girls possessing special ""Exceed"" abilities. The girls would come to be known as the Progress. There, the girls would meet. The world is on the verge of doom. Only the Progress can save it.
          ",Kadokawa Pictures Inc.::adventure::fantasy::ecchi,12,2.5,16,5,4,3,11
